"Notes","State","State Code","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"Alabama","01","1999","1999","Female","F",36,953965,3.8
,"Alabama","01","1999","1999","Male","M",190,948640,20.0
,"Alabama","01","2000","2000","Female","F",42,949631,4.4
,"Alabama","01","2000","2000","Male","M",200,945381,21.2
,"Alabama","01","2001","2001","Female","F",32,943603,3.4
,"Alabama","01","2001","2001","Male","M",182,940438,19.4
,"Alabama","01","2002","2002","Female","F",42,937532,4.5
,"Alabama","01","2002","2002","Male","M",155,935822,16.6
,"Alabama","01","2003","2003","Female","F",23,935158,2.5
,"Alabama","01","2003","2003","Male","M",173,935391,18.5
,"Alabama","01","2004","2004","Female","F",31,933906,3.3
,"Alabama","01","2004","2004","Male","M",173,933484,18.5
,"Alabama","01","2005","2005","Female","F",35,935031,3.7
,"Alabama","01","2005","2005","Male","M",159,934764,17.0
,"Alabama","01","2006","2006","Female","F",33,942456,3.5
,"Alabama","01","2006","2006","Male","M",214,942377,22.7
,"Alabama","01","2007","2007","Female","F",41,948156,4.3
,"Alabama","01","2007","2007","Male","M",188,946945,19.9
,"Alabama","01","2008","2008","Female","F",39,953923,4.1
,"Alabama","01","2008","2008","Male","M",191,952556,20.1
,"Alabama","01","2009","2009","Female","F",41,958423,4.3
,"Alabama","01","2009","2009","Male","M",175,957725,18.3
,"Alabama","01","2010","2010","Female","F",47,958494,4.9
,"Alabama","01","2010","2010","Male","M",200,957306,20.9
,"Alabama","01","2011","2011","Female","F",39,958171,4.1
,"Alabama","01","2011","2011","Male","M",210,955229,22.0
,"Alabama","01","2012","2012","Female","F",42,955850,4.4
,"Alabama","01","2012","2012","Male","M",192,951732,20.2
,"Alabama","01","2013","2013","Female","F",39,953607,4.1
,"Alabama","01","2013","2013","Male","M",205,951676,21.5
,"Alabama","01","2014","2014","Female","F",52,955457,5.4
,"Alabama","01","2014","2014","Male","M",205,950259,21.6
,"Alabama","01","2015","2015","Female","F",54,954190,5.7
,"Alabama","01","2015","2015","Male","M",213,948710,22.5
,"Alabama","01","2016","2016","Female","F",47,951625,4.9
,"Alabama","01","2016","2016","Male","M",240,947176,25.3
,"Alabama","01","2017","2017","Female","F",52,951500,5.5
,"Alabama","01","2017","2017","Male","M",253,947776,26.7
,"Alabama","01","2018","2018","Female","F",69,951949,7.2
,"Alabama","01","2018","2018","Male","M",282,946980,29.8
,"Alabama","01","2019","2019","Female","F",62,951880,6.5
,"Alabama","01","2019","2019","Male","M",255,945699,27.0
,"Alaska","02","1999","1999","Female","F",11,140543,Unreliable
,"Alaska","02","1999","1999","Male","M",43,152252,28.2
,"Alaska","02","2000","2000","Female","F",19,140345,Unreliable
,"Alaska","02","2000","2000","Male","M",67,151498,44.2
,"Alaska","02","2001","2001","Female","F",12,140082,Unreliable
,"Alaska","02","2001","2001","Male","M",43,152112,28.3
,"Alaska","02","2002","2002","Female","F",15,140542,Unreliable
,"Alaska","02","2002","2002","Male","M",55,153263,35.9
,"Alaska","02","2003","2003","Female","F",15,140703,Unreliable
