"Notes","State","State Code","Year","Year Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"Alabama","01","1999","1999","10-14 years","10-14",Suppressed,317379,Suppressed
,"Alabama","01","1999","1999","15-19 years","15-19",33,327789,10.1
,"Alabama","01","1999","1999","20-24 years","20-24",56,306182,18.3
,"Alabama","01","1999","1999","25-29 years","25-29",38,307028,12.4
,"Alabama","01","1999","1999","30-34 years","30-34",45,301295,14.9
,"Alabama","01","1999","1999","35-39 years","35-39",53,342932,15.5
,"Alabama","01","2000","2000","10-14 years","10-14",Suppressed,320252,Suppressed
,"Alabama","01","2000","2000","15-19 years","15-19",25,324580,7.7
,"Alabama","01","2000","2000","20-24 years","20-24",43,306865,14.0
,"Alabama","01","2000","2000","25-29 years","25-29",48,301196,15.9
,"Alabama","01","2000","2000","30-34 years","30-34",50,301819,16.6
,"Alabama","01","2000","2000","35-39 years","35-39",69,340300,20.3
,"Alabama","01","2001","2001","10-14 years","10-14",Suppressed,323615,Suppressed
,"Alabama","01","2001","2001","15-19 years","15-19",27,321866,8.4
,"Alabama","01","2001","2001","20-24 years","20-24",38,318741,11.9
,"Alabama","01","2001","2001","25-29 years","25-29",53,286763,18.5
,"Alabama","01","2001","2001","30-34 years","30-34",40,302186,13.2
,"Alabama","01","2001","2001","35-39 years","35-39",52,330870,15.7
,"Alabama","01","2002","2002","10-14 years","10-14",Suppressed,325008,Suppressed
,"Alabama","01","2002","2002","15-19 years","15-19",23,320749,7.2
,"Alabama","01","2002","2002","20-24 years","20-24",37,322812,11.5
,"Alabama","01","2002","2002","25-29 years","25-29",43,281003,15.3
,"Alabama","01","2002","2002","30-34 years","30-34",35,302668,11.6
,"Alabama","01","2002","2002","35-39 years","35-39",51,321114,15.9
,"Alabama","01","2003","2003","10-14 years","10-14",Suppressed,326642,Suppressed
,"Alabama","01","2003","2003","15-19 years","15-19",19,321655,Unreliable
,"Alabama","01","2003","2003","20-24 years","20-24",43,326983,13.2
,"Alabama","01","2003","2003","25-29 years","25-29",46,280387,16.4
,"Alabama","01","2003","2003","30-34 years","30-34",44,302722,14.5
,"Alabama","01","2003","2003","35-39 years","35-39",41,312160,13.1
,"Alabama","01","2004","2004","10-14 years","10-14",Suppressed,326228,Suppressed
,"Alabama","01","2004","2004","15-19 years","15-19",30,325095,9.2
,"Alabama","01","2004","2004","20-24 years","20-24",55,326749,16.8
,"Alabama","01","2004","2004","25-29 years","25-29",31,283864,10.9
,"Alabama","01","2004","2004","30-34 years","30-34",39,299896,13.0
,"Alabama","01","2004","2004","35-39 years","35-39",47,305558,15.4
,"Alabama","01","2005","2005","10-14 years","10-14",Suppressed,323028,Suppressed
,"Alabama","01","2005","2005","15-19 years","15-19",24,330753,7.3
,"Alabama","01","2005","2005","20-24 years","20-24",41,326727,12.5
,"Alabama","01","2005","2005","25-29 years","25-29",38,290568,13.1
,"Alabama","01","2005","2005","30-34 years","30-34",41,295263,13.9
,"Alabama","01","2005","2005","35-39 years","35-39",48,303456,15.8
,"Alabama","01","2006","2006","10-14 years","10-14",Suppressed,321867,Suppressed
,"Alabama","01","2006","2006","15-19 years","15-19",33,337003,9.8
,"Alabama","01","2006","2006","20-24 years","20-24",53,326239,16.2
,"Alabama","01","2006","2006","25-29 years","25-29",58,302813,19.2
,"Alabama","01","2006","2006","30-34 years","30-34",47,288248,16.3
,"Alabama","01","2006","2006","35-39 years","35-39",54,308663,17.5
,"Alabama","01","2007","2007","10-14 years","10-14",Suppressed,320407,Suppressed
,"Alabama","01","2007","2007","15-19 years","15-19",17,341279,Unreliable
,"Alabama","01","2007","2007","20-24 years","20-24",57,327293,17.4
,"Alabama","01","2007","2007","25-29 years","25-29",44,307619,14.3
,"Alabama","01","2007","2007","30-34 years","30-34",54,286033,18.9
,"Alabama","01","2007","2007","35-39 years","35-39",54,312470,17.3
,"Alabama","01","2008","2008","15-19 years","15-19",24,345580,6.9
,"Alabama","01","2008","2008","20-24 years","20-24",56,328751,17.0
,"Alabama","01","2008","2008","25-29 years","25-29",42,311504,13.5
,"Alabama","01","2008","2008","30-34 years","30-34",62,287272,21.6
,"Alabama","01","2008","2008","35-39 years","35-39",46,313869,14.7
,"Alabama","01","2009","2009","10-14 years","10-14",Suppressed,319072,Suppressed
,"Alabama","01","2009","2009","15-19 years","15-19",24,346611,6.9
,"Alabama","01","2009","2009","20-24 years","20-24",47,332117,14.2
,"Alabama","01","2009","2009","25-29 years","25-29",38,312199,12.2
,"Alabama","01","2009","2009","30-34 years","30-34",50,293352,17.0
,"Alabama","01","2009","2009","35-39 years","35-39",51,312797,16.3
,"Alabama","01","2010","2010","10-14 years","10-14",Suppressed,319655,Suppressed
,"Alabama","01","2010","2010","15-19 years","15-19",29,343471,8.4
,"Alabama","01","2010","2010","20-24 years","20-24",46,335322,13.7
,"Alabama","01","2010","2010","25-29 years","25-29",62,311034,19.9
,"Alabama","01","2010","2010","30-34 years","30-34",52,297888,17.5
,"Alabama","01","2010","2010","35-39 years","35-39",51,308430,16.5
,"Alabama","01","2011","2011","10-14 years","10-14",Suppressed,321775,Suppressed
,"Alabama","01","2011","2011","15-19 years","15-19",29,333831,8.7
,"Alabama","01","2011","2011","20-24 years","20-24",50,347404,14.4
,"Alabama","01","2011","2011","25-29 years","25-29",57,309992,18.4
,"Alabama","01","2011","2011","30-34 years","30-34",60,304515,19.7
,"Alabama","01","2011","2011","35-39 years","35-39",49,295883,16.6
,"Alabama","01","2012","2012","10-14 years","10-14",Suppressed,321088,Suppressed
,"Alabama","01","2012","2012","15-19 years","15-19",29,323731,9.0
,"Alabama","01","2012","2012","20-24 years","20-24",38,352881,10.8
,"Alabama","01","2012","2012","25-29 years","25-29",64,310155,20.6
,"Alabama","01","2012","2012","30-34 years","30-34",42,307602,13.7
,"Alabama","01","2012","2012","35-39 years","35-39",53,292125,18.1
,"Alabama","01","2013","2013","10-14 years","10-14",Suppressed,316370,Suppressed
,"Alabama","01","2013","2013","15-19 years","15-19",25,320850,7.8
,"Alabama","01","2013","2013","20-24 years","20-24",54,355333,15.2
,"Alabama","01","2013","2013","25-29 years","25-29",57,311543,18.3
,"Alabama","01","2013","2013","30-34 years","30-34",53,309441,17.1
,"Alabama","01","2013","2013","35-39 years","35-39",50,291746,17.1
,"Alabama","01","2014","2014","10-14 years","10-14",10,314454,Unreliable
,"Alabama","01","2014","2014","15-19 years","15-19",22,317852,6.9
,"Alabama","01","2014","2014","20-24 years","20-24",42,353346,11.9
,"Alabama","01","2014","2014","25-29 years","25-29",53,316651,16.7
,"Alabama","01","2014","2014","30-34 years","30-34",64,309736,20.7
,"Alabama","01","2014","2014","35-39 years","35-39",66,293677,22.5
,"Alabama","01","2015","2015","10-14 years","10-14",Suppressed,309713,Suppressed
,"Alabama","01","2015","2015","15-19 years","15-19",32,319561,10.0
,"Alabama","01","2015","2015","20-24 years","20-24",56,343621,16.3
,"Alabama","01","2015","2015","25-29 years","25-29",64,325204,19.7
,"Alabama","01","2015","2015","30-34 years","30-34",54,307522,17.6
,"Alabama","01","2015","2015","35-39 years","35-39",56,297279,18.8
,"Alabama","01","2016","2016","10-14 years","10-14",Suppressed,306381,Suppressed
,"Alabama","01","2016","2016","15-19 years","15-19",33,320546,10.3
,"Alabama","01","2016","2016","20-24 years","20-24",59,333330,17.7
,"Alabama","01","2016","2016","25-29 years","25-29",68,332135,20.5
,"Alabama","01","2016","2016","30-34 years","30-34",62,305352,20.3
,"Alabama","01","2016","2016","35-39 years","35-39",59,301057,19.6
,"Alabama","01","2017","2017","10-14 years","10-14",16,308459,Unreliable
,"Alabama","01","2017","2017","15-19 years","15-19",22,318807,6.9
,"Alabama","01","2017","2017","20-24 years","20-24",71,329597,21.5
,"Alabama","01","2017","2017","25-29 years","25-29",61,338151,18.0
,"Alabama","01","2017","2017","30-34 years","30-34",63,302151,20.9
,"Alabama","01","2017","2017","35-39 years","35-39",72,302111,23.8
,"Alabama","01","2018","2018","10-14 years","10-14",Suppressed,310495,Suppressed
,"Alabama","01","2018","2018","15-19 years","15-19",43,315680,13.6
,"Alabama","01","2018","2018","20-24 years","20-24",66,325220,20.3
,"Alabama","01","2018","2018","25-29 years","25-29",74,340014,21.8
,"Alabama","01","2018","2018","30-34 years","30-34",74,303526,24.4
,"Alabama","01","2018","2018","35-39 years","35-39",87,303994,28.6
,"Alabama","01","2019","2019","10-14 years","10-14",10,310498,Unreliable
,"Alabama","01","2019","2019","15-19 years","15-19",36,313615,11.5
,"Alabama","01","2019","2019","20-24 years","20-24",58,322092,18.0
,"Alabama","01","2019","2019","25-29 years","25-29",56,338138,16.6
,"Alabama","01","2019","2019","30-34 years","30-34",73,309091,23.6
,"Alabama","01","2019","2019","35-39 years","35-39",84,304145,27.6
,"Alaska","02","1999","1999","10-14 years","10-14",Suppressed,55877,Suppressed
,"Alaska","02","1999","1999","15-19 years","15-19",16,49732,Unreliable
,"Alaska","02","1999","1999","20-24 years","20-24",Suppressed,39451,Suppressed
,"Alaska","02","1999","1999","25-29 years","25-29",13,41687,Unreliable
,"Alaska","02","1999","1999","30-34 years","30-34",Suppressed,48329,Suppressed
,"Alaska","02","1999","1999","35-39 years","35-39",10,57719,Unreliable
,"Alaska","02","2000","2000","10-14 years","10-14",Suppressed,56661,Suppressed
,"Alaska","02","2000","2000","15-19 years","15-19",26,50094,51.9
,"Alaska","02","2000","2000","20-24 years","20-24",23,39892,57.7
,"Alaska","02","2000","2000","25-29 years","25-29",15,42987,Unreliable
,"Alaska","02","2000","2000","30-34 years","30-34",Suppressed,46486,Suppressed
,"Alaska","02","2000","2000","35-39 years","35-39",11,55723,Unreliable
,"Alaska","02","2001","2001","10-14 years","10-14",Suppressed,57077,Suppressed
,"Alaska","02","2001","2001","15-19 years","15-19",16,52378,Unreliable
,"Alaska","02","2001","2001","20-24 years","20-24",Suppressed,42602,Suppressed
,"Alaska","02","2001","2001","25-29 years","25-29",Suppressed,41148,Suppressed
,"Alaska","02","2001","2001","30-34 years","30-34",11,46006,Unreliable
,"Alaska","02","2001","2001","35-39 years","35-39",11,52983,Unreliable
,"Alaska","02","2002","2002","10-14 years","10-14",Suppressed,57449,Suppressed
,"Alaska","02","2002","2002","15-19 years","15-19",13,53653,Unreliable
,"Alaska","02","2002","2002","20-24 years","20-24",19,45284,Unreliable
,"Alaska","02","2002","2002","25-29 years","25-29",20,41155,48.6
,"Alaska","02","2002","2002","30-34 years","30-34",Suppressed,45497,Suppressed
,"Alaska","02","2002","2002","35-39 years","35-39",13,50767,Unreliable
,"Alaska","02","2003","2003","10-14 years","10-14",Suppressed,56932,Suppressed
,"Alaska","02","2003","2003","15-19 years","15-19",20,54076,37.0
,"Alaska","02","2003","2003","20-24 years","20-24",13,47733,Unreliable
,"Alaska","02","2003","2003","25-29 years","25-29",15,41414,Unreliable
,"Alaska","02","2003","2003","30-34 years","30-34",11,44958,Unreliable
,"Alaska","02","2003","2003","35-39 years","35-39",Suppressed,48476,Suppressed
,"Alaska","02","2004","2004","10-14 years","10-14",Suppressed,56422,Suppressed
,"Alaska","02","2004","2004","15-19 years","15-19",22,54612,40.3
,"Alaska","02","2004","2004","20-24 years","20-24",20,50900,39.3
,"Alaska","02","2004","2004","25-29 years","25-29",19,42769,Unreliable
,"Alaska","02","2004","2004","30-34 years","30-34",14,44478,Unreliable
,"Alaska","02","2004","2004","35-39 years","35-39",19,47010,Unreliable
,"Alaska","02","2005","2005","15-19 years","15-19",13,54764,Unreliable
,"Alaska","02","2005","2005","20-24 years","20-24",18,53117,Unreliable
,"Alaska","02","2005","2005","25-29 years","25-29",13,44419,Unreliable
,"Alaska","02","2005","2005","30-34 years","30-34",10,43739,Unreliable
,"Alaska","02","2005","2005","35-39 years","35-39",17,46466,Unreliable
,"Alaska","02","2006","2006","10-14 years","10-14",Suppressed,53244,Suppressed
,"Alaska","02","2006","2006","15-19 years","15-19",14,55120,Unreliable
,"Alaska","02","2006","2006","20-24 years","20-24",27,54081,49.9
