"Year-Quarter (time)","Geographic Area Name (NAME)","Amount ($1,000,000) (CELL_VALUE)"
"1999-Q1","Alabama","1,525"
"1999-Q2","Alabama","1,466"
"1999-Q3","Alabama","1,568"
"1999-Q4","Alabama","1,521"
"2000-Q1","Alabama","1,555"
"2000-Q2","Alabama","1,572"
"2000-Q3","Alabama","1,582"
"2000-Q4","Alabama","1,509"
"2001-Q1","Alabama","1,601"
"2001-Q2","Alabama","1,637"
"2001-Q3","Alabama","1,549"
"2001-Q4","Alabama","1,509"
"2002-Q1","Alabama","1,651"
"2002-Q2","Alabama","1,622"
"2002-Q3","Alabama","1,559"
"2002-Q4","Alabama","1,576"
"2003-Q1","Alabama","1,685"
"2003-Q2","Alabama","1,608"
"2003-Q3","Alabama","1,619"
"2003-Q4","Alabama","1,725"
"2004-Q1","Alabama","1,662"
"2004-Q2","Alabama","1,865"
"2004-Q3","Alabama","1,744"
"2004-Q4","Alabama","1,873"
"2005-Q1","Alabama","1,856"
"2005-Q2","Alabama","2,101"
"2005-Q3","Alabama","1,937"
"2005-Q4","Alabama","2,021"
"2006-Q1","Alabama","2,045"
"2006-Q2","Alabama","2,338"
"2006-Q3","Alabama","2,130"
"2006-Q4","Alabama","2,176"
"2007-Q1","Alabama","2,100"
"2007-Q2","Alabama","2,434"
"2007-Q3","Alabama","2,158"
"2007-Q4","Alabama","2,236"
"2008-Q1","Alabama","2,137"
"2008-Q2","Alabama","2,461"
"2008-Q3","Alabama","2,236"
"2008-Q4","Alabama","2,086"
"2009-Q1","Alabama","2,202"
"2009-Q2","Alabama","2,130"
"2009-Q3","Alabama","1,888"
"2009-Q4","Alabama","2,101"
"2010-Q1","Alabama","2,092"
"2010-Q2","Alabama","1,937"
"2010-Q3","Alabama","2,140"
"2010-Q4","Alabama","2,127"
"2011-Q1","Alabama","2,092"
"2011-Q2","Alabama","2,091"
"2011-Q3","Alabama","2,059"
"2011-Q4","Alabama","2,182"
"2012-Q1","Alabama","2,218"
"2012-Q2","Alabama","2,293"
"2012-Q3","Alabama","2,134"
"2012-Q4","Alabama","2,178"
"2013-Q1","Alabama","2,293"
"2013-Q2","Alabama","2,412"
"2013-Q3","Alabama","2,147"
"2013-Q4","Alabama","2,237"
"2014-Q1","Alabama","2,206"
"2014-Q2","Alabama","2,357"
"2014-Q3","Alabama","2,235"
"2014-Q4","Alabama","2,364"
"2015-Q1","Alabama","2,392"
"2015-Q2","Alabama","2,403"
"2015-Q3","Alabama","2,344"
"2015-Q4","Alabama","2,417"
"2016-Q1","Alabama","2,421"
"2016-Q2","Alabama","2,553"
"2016-Q3","Alabama","2,269"
"2016-Q4","Alabama","2,529"
"2017-Q1","Alabama","2,618"
"2017-Q2","Alabama","2,511"
"2017-Q3","Alabama","2,383"
"2017-Q4","Alabama","2,621"
"2018-Q1","Alabama","2,729"
"2018-Q2","Alabama","2,806"
"2018-Q3","Alabama","2,638"
"2018-Q4","Alabama","2,686"
"2019-Q1","Alabama","2,916"
"2019-Q2","Alabama","3,290"
"2019-Q3","Alabama","2,839"
"2019-Q4","Alabama","3,018"
"1999-Q1","Alaska","158"
"1999-Q2","Alaska","301"
"1999-Q3","Alaska","255"
"1999-Q4","Alaska","356"
"2000-Q1","Alaska","205"
"2000-Q2","Alaska","492"
"2000-Q3","Alaska","326"
"2000-Q4","Alaska","362"
"2001-Q1","Alaska","227"
"2001-Q2","Alaska","514"
"2001-Q3","Alaska","286"
"2001-Q4","Alaska","221"
"2002-Q1","Alaska","175"
"2002-Q2","Alaska","401"
"2002-Q3","Alaska","212"
"2002-Q4","Alaska","203"
"2003-Q1","Alaska","204"
"2003-Q2","Alaska","501"
"2003-Q3","Alaska","253"
"2003-Q4","Alaska","253"
"2004-Q1","Alaska","270"
"2004-Q2","Alaska","512"
"2004-Q3","Alaska","334"
"2004-Q4","Alaska","349"
"2005-Q1","Alaska","382"
"2005-Q2","Alaska","794"
"2005-Q3","Alaska","450"
"2005-Q4","Alaska","584"
"2006-Q1","Alaska","431"
"2006-Q2","Alaska","882"
"2006-Q3","Alaska","663"
"2006-Q4","Alaska","495"
"2007-Q1","Alaska","408"
"2007-Q2","Alaska","1,877"
"2007-Q3","Alaska","659"
"2007-Q4","Alaska","1,617"
"2008-Q1","Alaska","1,000"
"2008-Q2","Alaska","4,429"
"2008-Q3","Alaska","2,892"
"2008-Q4","Alaska","1,215"
"2009-Q1","Alaska","282"
"2009-Q2","Alaska","598"
"2009-Q3","Alaska","1,028"
"2009-Q4","Alaska","1,210"
"2010-Q1","Alaska","1,018"
"2010-Q2","Alaska","1,256"
"2010-Q3","Alaska","640"
"2010-Q4","Alaska","1,037"
"2011-Q1","Alaska","1,188"
"2011-Q2","Alaska","2,343"
"2011-Q3","Alaska","1,560"
"2011-Q4","Alaska","1,419"
"2012-Q1","Alaska","1,715"
"2012-Q2","Alaska","2,353"
