"","state","year","five_year_age_groups","deaths","population","suicides_per_100k","spending","revenue","total_population","spending_per_100k","revenue_per_100k"
"1","Alabama",1999,"15-19 years",33,327789,10.1,182987611,6.08e+09,4430141,4130514.37866199,137241681.472441
"2","Alabama",1999,"20-24 years",56,306182,18.3,182987611,6.08e+09,4430141,4130514.37866199,137241681.472441
"3","Alabama",1999,"25-29 years",38,307028,12.4,182987611,6.08e+09,4430141,4130514.37866199,137241681.472441
"4","Alabama",1999,"30-34 years",45,301295,14.9,182987611,6.08e+09,4430141,4130514.37866199,137241681.472441
"5","Alabama",1999,"35-39 years",53,342932,15.5,182987611,6.08e+09,4430141,4130514.37866199,137241681.472441
"6","Alabama",2000,"15-19 years",25,324580,7.7,190911353.666667,6.218e+09,4447100,4292940.42559571,139821456.679634
"7","Alabama",2000,"20-24 years",43,306865,14,190911353.666667,6.218e+09,4447100,4292940.42559571,139821456.679634
"8","Alabama",2000,"25-29 years",48,301196,15.9,190911353.666667,6.218e+09,4447100,4292940.42559571,139821456.679634
"9","Alabama",2000,"30-34 years",50,301819,16.6,190911353.666667,6.218e+09,4447100,4292940.42559571,139821456.679634
"10","Alabama",2000,"35-39 years",69,340300,20.3,190911353.666667,6.218e+09,4447100,4292940.42559571,139821456.679634
"11","Alabama",2001,"15-19 years",27,321866,8.4,201151093,6.296e+09,4467634,4502407.60545739,140924704.217042
"12","Alabama",2001,"20-24 years",38,318741,11.9,201151093,6.296e+09,4467634,4502407.60545739,140924704.217042
"13","Alabama",2001,"25-29 years",53,286763,18.5,201151093,6.296e+09,4467634,4502407.60545739,140924704.217042
"14","Alabama",2001,"30-34 years",40,302186,13.2,201151093,6.296e+09,4467634,4502407.60545739,140924704.217042
"15","Alabama",2001,"35-39 years",52,330870,15.7,201151093,6.296e+09,4467634,4502407.60545739,140924704.217042
"16","Alabama",2002,"15-19 years",23,320749,7.2,216290343.666667,6.408e+09,4480089,4827813.54715647,143032872.784447
"17","Alabama",2002,"20-24 years",37,322812,11.5,216290343.666667,6.408e+09,4480089,4827813.54715647,143032872.784447
"18","Alabama",2002,"25-29 years",43,281003,15.3,216290343.666667,6.408e+09,4480089,4827813.54715647,143032872.784447
"19","Alabama",2002,"30-34 years",35,302668,11.6,216290343.666667,6.408e+09,4480089,4827813.54715647,143032872.784447
"20","Alabama",2002,"35-39 years",51,321114,15.9,216290343.666667,6.408e+09,4480089,4827813.54715647,143032872.784447
"21","Alabama",2003,"15-19 years",19,321655,5.9,230427297.333333,6.637e+09,4503491,5116637.23394436,147374558.981022
"22","Alabama",2003,"20-24 years",43,326983,13.2,230427297.333333,6.637e+09,4503491,5116637.23394436,147374558.981022
"23","Alabama",2003,"25-29 years",46,280387,16.4,230427297.333333,6.637e+09,4503491,5116637.23394436,147374558.981022
"24","Alabama",2003,"30-34 years",44,302722,14.5,230427297.333333,6.637e+09,4503491,5116637.23394436,147374558.981022
"25","Alabama",2003,"35-39 years",41,312160,13.1,230427297.333333,6.637e+09,4503491,5116637.23394436,147374558.981022
"26","Alabama",2004,"15-19 years",30,325095,9.2,249902153.666667,7.144e+09,4530729,5515716.20519935,157678819.45709
"27","Alabama",2004,"20-24 years",55,326749,16.8,249902153.666667,7.144e+09,4530729,5515716.20519935,157678819.45709
"28","Alabama",2004,"25-29 years",31,283864,10.9,249902153.666667,7.144e+09,4530729,5515716.20519935,157678819.45709
"29","Alabama",2004,"30-34 years",39,299896,13,249902153.666667,7.144e+09,4530729,5515716.20519935,157678819.45709
"30","Alabama",2004,"35-39 years",47,305558,15.4,249902153.666667,7.144e+09,4530729,5515716.20519935,157678819.45709
