"","state","year","revenue"
"1","Alabama",1999,6.08e+09
"2","Alabama",2000,6.218e+09
"3","Alabama",2001,6.296e+09
"4","Alabama",2002,6.408e+09
"5","Alabama",2003,6.637e+09
"6","Alabama",2004,7.144e+09
"7","Alabama",2005,7.915e+09
"8","Alabama",2006,8.689e+09
"9","Alabama",2007,8.928e+09
"10","Alabama",2008,8.92e+09
"11","Alabama",2009,8.321e+09
"12","Alabama",2010,8.296e+09
"13","Alabama",2011,8.424e+09
"14","Alabama",2012,8.823e+09
"15","Alabama",2013,9.089e+09
"16","Alabama",2014,9.162e+09
"17","Alabama",2015,9.556e+09
"18","Alabama",2016,9.772e+09
"19","Alabama",2017,1.0133e+10
"20","Alabama",2018,1.0859e+10
"21","Alabama",2019,1.2063e+10
"22","Alaska",1999,1.07e+09
"23","Alaska",2000,1.385e+09
"24","Alaska",2001,1.248e+09
"25","Alaska",2002,9.91e+08
"26","Alaska",2003,1.211e+09
"27","Alaska",2004,1.465e+09
"28","Alaska",2005,2.21e+09
"29","Alaska",2006,2.471e+09
"30","Alaska",2007,4.561e+09
"31","Alaska",2008,9.536e+09
"32","Alaska",2009,3.118e+09
"33","Alaska",2010,3.951e+09
"34","Alaska",2011,6.51e+09
"35","Alaska",2012,6.709e+09
"36","Alaska",2013,4.291e+09
"37","Alaska",2014,2.156e+09
"38","Alaska",2015,7.59e+08
"39","Alaska",2016,1.119e+09
"40","Alaska",2017,1.325e+09
"41","Alaska",2018,1.904e+09
"42","Alaska",2019,1.599e+09
"43","Arizona",1999,7.394e+09
"44","Arizona",2000,8.382e+09
"45","Arizona",2001,8.412e+09
"46","Arizona",2002,8.299e+09
"47","Arizona",2003,9.089e+09
"48","Arizona",2004,1.0071e+10
"49","Arizona",2005,1.1066e+10
"50","Arizona",2006,1.2157e+10
"51","Arizona",2007,1.2773e+10
"52","Arizona",2008,1.2241e+10
"53","Arizona",2009,1.0672e+10
"54","Arizona",2010,1.103e+10
"55","Arizona",2011,1.1323e+10
"56","Arizona",2012,1.159e+10
"57","Arizona",2013,1.2069e+10
