"","state","year","total_population"
"1","Alabama",1999,4430141
"2","Alabama",2000,4447100
"3","Alabama",2001,4467634
"4","Alabama",2002,4480089
"5","Alabama",2003,4503491
"6","Alabama",2004,4530729
"7","Alabama",2005,4569805
"8","Alabama",2006,4628981
"9","Alabama",2007,4672840
"10","Alabama",2008,4718206
"11","Alabama",2009,4757938
"12","Alabama",2010,4779736
"13","Alabama",2011,4802740
"14","Alabama",2012,4822023
"15","Alabama",2013,4833722
"16","Alabama",2014,4849377
"17","Alabama",2015,4858979
"18","Alabama",2016,4863300
"19","Alabama",2017,4874747
"20","Alabama",2018,4887871
"21","Alabama",2019,4903185
"22","Alabama",NA,98682634
"23","Alaska",1999,624779
"24","Alaska",2000,626932
"25","Alaska",2001,633714
"26","Alaska",2002,642337
"27","Alaska",2003,648414
"28","Alaska",2004,659286
"29","Alaska",2005,666946
"30","Alaska",2006,675302
"31","Alaska",2007,680300
"32","Alaska",2008,687455
"33","Alaska",2009,698895
"34","Alaska",2010,710231
"35","Alaska",2011,722718
"36","Alaska",2012,731449
"37","Alaska",2013,735132
"38","Alaska",2014,736732
"39","Alaska",2015,738432
"40","Alaska",2016,741894
"41","Alaska",2017,739795
"42","Alaska",2018,737438
"43","Alaska",2019,731545
"44","Alaska",NA,14569726
"45","Arizona",1999,5023823
"46","Arizona",2000,5130632
"47","Arizona",2001,5273477
"48","Arizona",2002,5396255
"49","Arizona",2003,5510364
"50","Arizona",2004,5652404
"51","Arizona",2005,5839077
"52","Arizona",2006,6029141
"53","Arizona",2007,6167681
"54","Arizona",2008,6280362
"55","Arizona",2009,6343154
"56","Arizona",2010,6392017
"57","Arizona",2011,6482505
"58","Arizona",2012,6553255
"59","Arizona",2013,6626624
"60","Arizona",2014,6731484
"61","Arizona",2015,6828065
"62","Arizona",2016,6931071
"63","Arizona",2017,7016270
"64","Arizona",2018,7171646
"65","Arizona",2019,7278717
"66","Arizona",NA,130658024
"67","Arkansas",1999,2651860
"68","Arkansas",2000,2673400
"69","Arkansas",2001,2691571
"70","Arkansas",2002,2705927
"71","Arkansas",2003,2724816
"72","Arkansas",2004,2749686
"73","Arkansas",2005,2781097
"74","Arkansas",2006,2821761
"75","Arkansas",2007,2848650
"76","Arkansas",2008,2874554
"77","Arkansas",2009,2896843
"78","Arkansas",2010,2915918
"79","Arkansas",2011,2937979
"80","Arkansas",2012,2949131
"81","Arkansas",2013,2959373
"82","Arkansas",2014,2966369
"83","Arkansas",2015,2978204
"84","Arkansas",2016,2988248
"85","Arkansas",2017,3004279
"86","Arkansas",2018,3013825
"87","Arkansas",2019,3017804
"88","Arkansas",NA,60151295
"89","California",1999,33499204
"90","California",2000,33871648
"91","California",2001,34479458
"92","California",2002,34871843
"93","California",2003,35253159
"94","California",2004,35574576
"95","California",2005,35827943
"96","California",2006,36021202
"97","California",2007,36250311
"98","California",2008,36604337
"99","California",2009,36961229
"100","California",2010,37253956
"101","California",2011,37691912
"102","California",2012,38041430
"103","California",2013,38332521
"104","California",2014,38802500
"105","California",2015,39144818
"106","California",2016,39250017
"107","California",2017,39536653
"108","California",2018,39557045
"109","California",2019,39512223
"110","California",NA,776337985
"111","Colorado",1999,4226018
"112","Colorado",2000,4301261
"113","Colorado",2001,4425687
"114","Colorado",2002,4490406
"115","Colorado",2003,4528732
"116","Colorado",2004,4575013
"117","Colorado",2005,4631888
"118","Colorado",2006,4720423
"119","Colorado",2007,4803868
"120","Colorado",2008,4889730
"121","Colorado",2009,4972195
"122","Colorado",2010,5029196
"123","Colorado",2011,5116796
"124","Colorado",2012,5187582
"125","Colorado",2013,5268367
"126","Colorado",2014,5355866
"127","Colorado",2015,5456574
"128","Colorado",2016,5540545
"129","Colorado",2017,5607154
"130","Colorado",2018,5695564
"131","Colorado",2019,5758736
"132","Colorado",NA,104581601
"133","Connecticut",1999,3386401
"134","Connecticut",2000,3405565
"135","Connecticut",2001,3432835
"136","Connecticut",2002,3458749
"137","Connecticut",2003,3484336
"138","Connecticut",2004,3496094
"139","Connecticut",2005,3506956
"140","Connecticut",2006,3517460
"141","Connecticut",2007,3527270
"142","Connecticut",2008,3545579
"143","Connecticut",2009,3561807
"144","Connecticut",2010,3574097
"145","Connecticut",2011,3580709
"146","Connecticut",2012,3590347
"147","Connecticut",2013,3596080
"148","Connecticut",2014,3596677
"149","Connecticut",2015,3590886
"150","Connecticut",2016,3576452
"151","Connecticut",2017,3588184
"152","Connecticut",2018,3572665
"153","Connecticut",2019,3565287
"154","Connecticut",NA,74154436
"155","Delaware",1999,774990
"156","Delaware",2000,783600
"157","Delaware",2001,795699
"158","Delaware",2002,806169
"159","Delaware",2003,818003
"160","Delaware",2004,830803
"161","Delaware",2005,845150
"162","Delaware",2006,859268
"163","Delaware",2007,871749
"164","Delaware",2008,883874
"165","Delaware",2009,891730
"166","Delaware",2010,897934
"167","Delaware",2011,907135
"168","Delaware",2012,917092
"169","Delaware",2013,925749
"170","Delaware",2014,935614
"171","Delaware",2015,945934
"172","Delaware",2016,952065
"173","Delaware",2017,961939
"174","Delaware",2018,967171
"175","Delaware",2019,973764
"176","Delaware",NA,18545432
"177","Florida",1999,15759421
"178","Florida",2000,15982378
"179","Florida",2001,16356966
"180","Florida",2002,16689370
"181","Florida",2003,17004085
"182","Florida",2004,17415318
"183","Florida",2005,17842038
"184","Florida",2006,18166990
"185","Florida",2007,18367842
"186","Florida",2008,18527305
"187","Florida",2009,18652644
"188","Florida",2010,18801310
"189","Florida",2011,19057542
"190","Florida",2012,19317568
"191","Florida",2013,19552860
"192","Florida",2014,19893297
"193","Florida",2015,20271272
"194","Florida",2016,20612439
"195","Florida",2017,20984400
"196","Florida",2018,21299325
"197","Florida",2019,21477737
"198","Florida",NA,392032107
"199","Georgia",1999,8045965
"200","Georgia",2000,8186453
"201","Georgia",2001,8377038
"202","Georgia",2002,8508256
"203","Georgia",2003,8622793
"204","Georgia",2004,8769252
"205","Georgia",2005,8925922
"206","Georgia",2006,9155813
"207","Georgia",2007,9349988
"208","Georgia",2008,9504843
"209","Georgia",2009,9620846
"210","Georgia",2010,9687653
"211","Georgia",2011,9815210
"212","Georgia",2012,9919945
"213","Georgia",2013,9992167
"214","Georgia",2014,10097343
"215","Georgia",2015,10214860
"216","Georgia",2016,10310371
"217","Georgia",2017,10429379
"218","Georgia",2018,10519475
"219","Georgia",2019,10617423
"220","Georgia",NA,198670995
"221","Hawaii",1999,1210300
"222","Hawaii",2000,1211537
"223","Hawaii",2001,1225948
"224","Hawaii",2002,1239613
"225","Hawaii",2003,1251154
"226","Hawaii",2004,1273569
"227","Hawaii",2005,1292729
"228","Hawaii",2006,1309731
"229","Hawaii",2007,1315675
"230","Hawaii",2008,1332213
"231","Hawaii",2009,1346717
"232","Hawaii",2010,1360301
"233","Hawaii",2011,1374810
"234","Hawaii",2012,1392313
"235","Hawaii",2013,1404054
"236","Hawaii",2014,1419561
"237","Hawaii",2015,1431603
"238","Hawaii",2016,1428557
"239","Hawaii",2017,1427538
"240","Hawaii",2018,1420491
"241","Hawaii",2019,1415872
"242","Hawaii",NA,28084286
"243","Idaho",1999,1275674
"244","Idaho",2000,1293953
"245","Idaho",2001,1319962
"246","Idaho",2002,1340372
"247","Idaho",2003,1363380
"248","Idaho",2004,1391802
"249","Idaho",2005,1428241
"250","Idaho",2006,1468669
"251","Idaho",2007,1505105
"252","Idaho",2008,1534320
"253","Idaho",2009,1554439
"254","Idaho",2010,1567582
"255","Idaho",2011,1584985
"256","Idaho",2012,1595728
"257","Idaho",2013,1612136
"258","Idaho",2014,1634464
"259","Idaho",2015,1654930
"260","Idaho",2016,1683140
"261","Idaho",2017,1716943
"262","Idaho",2018,1754208
"263","Idaho",2019,1787065
"264","Idaho",NA,32067098
"265","Illinois",1999,12359020
"266","Illinois",2000,12419293
"267","Illinois",2001,12488445
"268","Illinois",2002,12525556
"269","Illinois",2003,12556006
"270","Illinois",2004,12589773
"271","Illinois",2005,12609903
"272","Illinois",2006,12643955
"273","Illinois",2007,12695866
"274","Illinois",2008,12747038
"275","Illinois",2009,12796778
"276","Illinois",2010,12830632
"277","Illinois",2011,12869257
"278","Illinois",2012,12875255
"279","Illinois",2013,12882135
"280","Illinois",2014,12880580
"281","Illinois",2015,12859995
"282","Illinois",2016,12801539
"283","Illinois",2017,12802023
"284","Illinois",2018,12741080
"285","Illinois",2019,12671821
"286","Illinois",NA,266645950
"287","Indiana",1999,6044969
"288","Indiana",2000,6080485
"289","Indiana",2001,6127760
"290","Indiana",2002,6155967
"291","Indiana",2003,6196638
"292","Indiana",2004,6233007
"293","Indiana",2005,6278616
"294","Indiana",2006,6332669
"295","Indiana",2007,6379599
"296","Indiana",2008,6424806
"297","Indiana",2009,6459325
"298","Indiana",2010,6483802
"299","Indiana",2011,6516922
"300","Indiana",2012,6537334
"301","Indiana",2013,6570902
"302","Indiana",2014,6596855
"303","Indiana",2015,6619680
"304","Indiana",2016,6633053
"305","Indiana",2017,6666818
"306","Indiana",2018,6691878
"307","Indiana",2019,6732219
